keyword,category,proposed_title,meta_description,suggested_keywords,article_sections,why_needed,related_existing_terms,related_planned_terms,priority
edge-cracking,pavement-defects,"Edge Cracking in Asphalt Pavements","Edge cracks are crescent-shaped or longitudinal cracks within 0.3–0.6 m of the pavement edge, typically caused by lack of lateral support, poor drainage, or shoulder material shrinkage. In FHWA LTPP, edge cracking has low/moderate/high severity. Covers detection, differentiation from longitudinal cracking, and edge-support maintenance strategies.",edge cracking; pavement edge crack; shoulder cracking; crescent cracking; FHWA LTPP edge crack; lateral support failure; edge deterioration; pavement edge distress,1. Definition and Location; 2. Causes (shoulder drop-off; poor drainage; frost action; traffic encroachment); 3. FHWA LTPP Severity; 4. Differentiation from Longitudinal Cracking; 5. Measurement; 6. Implications for Pavement Structure; 7. Detection by AI; 8. Edge Support and Drainage Solutions,Wedge-shaped asphalt distress in FHWA LTPP taxonomy. Relevant for road edge inspections.,crack; asphalt; pavement; deformation; defect; drainage,longitudinal-cracking; alligator-cracking; settlement; heave; shoulder; subgrade,medium
reflective-cracking,pavement-defects,"Reflective Cracking in Asphalt Overlays","Reflective cracking occurs when cracks or joints in an underlying concrete or stabilized base propagate upward through an asphalt overlay. It is one of the most common distress types in composite and rehabilitated pavements. Covers mechanisms, prevention (stress-absorbing membrane interlayers, geotextiles, thick overlays), and detection in overlay inspection.",reflective cracking; asphalt overlay cracking; joint reflection cracking; composite pavement cracking; overlay distress; crack propagation; stress-absorbing interlayer; geotextile interlayer,"1. Definition and Mechanism; 2. Joint Reflection vs Crack Reflection; 3. Factors Affecting Rate of Reflection; 4. Prevention (SAMIs; geotextiles; increased overlay thickness; crack-and-seat); 5. Severity Measurement; 6. Reflective Cracking in Airport Pavement Overlays; 7. Detection by AI; 8. Rehabilitation Alternatives",Common in composite pavement rehabilitation — important for overlay condition assessment in runway and road inspections.,crack; asphalt; concrete; pavement; overlay; rehabilitation,longitudinal-cracking; transverse-cracking; block-cracking; milling; cold-planing; geotextile,medium
shrinkage-cracking,concrete-defects,"Shrinkage Cracking in Concrete Pavements and Structures","Shrinkage cracks are fine, often shallow cracks that form when concrete volume decreases during drying and curing. Plastic shrinkage occurs before setting; drying shrinkage occurs over months to years. While often not initially structural, shrinkage cracks can widen and allow moisture/chloride ingress. Covers types, prevention, and differentiation from structural cracking.",shrinkage cracking; plastic shrinkage; drying shrinkage; concrete curing cracks; autogenous shrinkage; crack width; concrete volume change; restrained shrinkage,1. Definition and Types (plastic; drying; autogenous; carbonation shrinkage); 2. Mechanism of Each Type; 3. Factors Influencing Shrinkage; 4. Visual Appearance and Patterns; 5. Differentiation from Structural Cracking; 6. Significance for Durability; 7. Prevention (curing; fibers; joints; SCMs); 8. Shrinkage in Airport Concrete Pavements; 9. AI Detection,Important for differentiating shrinkage cracks from structural cracks in concrete inspection.,concrete; crack; defect; deformation; construction,map-cracking; scaling; alkali-silica-reaction; carbonation; concrete-cover; joint-spalling,medium
polished-aggregate,pavement-defects,"Polished Aggregate in Pavement Surfaces","Polished aggregate is a surface condition where coarse aggregate particles exposed to traffic wear develop a smooth, glossy texture, reducing pavement skid resistance. In FHWA LTPP, it is recorded by affected area with no defined severity level. Covers causes, measurement of microtexture loss, relationship to friction safety, and detection using surface imaging and AI texture analysis.",polished aggregate; aggregate polishing; skid resistance loss; microtexture loss; pavement friction; FHWA LTPP polished aggregate; surface texture deterioration; polished stone value,1. Definition and Visual Appearance; 2. Causes (traffic wear; aggregate mineralogy; studded tires); 3. FHWA LTPP Classification; 4. Skid Resistance Relationship; 5. Measurement (British Pendulum Tester; Dynamic Friction Tester); 6. Polished Aggregate in Airport Runways; 7. Detection by Imaging and AI; 8. Remediation (grooving; surface treatment),FHWA LTPP surface defect affecting runway friction safety. Detected as surface texture proxy by TarmacView.,friction; skid-resistance; runway-surface; asphalt; pavement; surface-texture; microtexture,raveling; bleeding; grooving; macrotexture; mean-profile-depth; skid-number,medium
bleeding,pavement-defects,"Bleeding (Flushing) in Asphalt Pavements","Bleeding, also called flushing, is the upward migration of excess asphalt binder to the pavement surface, creating a shiny, reflective, and often sticky film. In FHWA LTPP, it is recorded by affected area with no defined severity level; TxDOT rates it low/medium/high. Covers causes (excess binder, low air voids, high temperatures), effects on friction, and detection via surface reflectivity analysis.",bleeding asphalt; flushing pavement; excess binder; shiny pavement; asphalt migration; FHWA LTPP bleeding; TxDOT flushing; surface reflectivity; binder-rich surface,1. Definition and Visual Characteristics; 2. Bleeding vs Flushing Terminology; 3. Causes (excess binder; low air voids; temperature; over-compaction); 4. FHWA LTPP and TxDOT Classification; 5. Effects on Skid Resistance and Safety; 6. Bleeding in Airport Pavements; 7. Detection by Optical Imaging; 8. Remediation (sand application; milling; overlay),FHWA LTPP/TxDOT asphalt surface defect — visible proxy for binder problems. Important for road quality assessment.,asphalt; pavement; runway-surface; friction; skid-resistance; defect,raveling; polished-aggregate; flushing; asphalt-content; air-voids; superpave,medium
map-cracking,concrete-defects,"Map Cracking and Crazing in Concrete Surfaces","Map cracking (also called crazing) is a network of shallow, fine, interconnected cracks on the concrete surface forming an irregular pattern. In FHWA LTPP, map cracking on PCC pavements is a recognized surface defect with no severity level. While often cosmetic, it can indicate poor curing, finishing issues, or alkali-silica reaction. Covers causes, severity implications, and detection.",map cracking; crazing; concrete surface cracking; fine crack network; PCC map cracking; FHWA LTPP map cracking; concrete curing cracks; alkali-silica reaction cracks,1. Definition and Pattern; 2. Map Cracking vs Crazing; 3. Causes (poor curing; over-finishing; ASR; freeze-thaw); 4. FHWA LTPP Classification for PCC; 5. When Map Cracking Indicates Structural Issues; 6. Differentiation from Structural Cracking; 7. Detection; 8. Maintenance (sealers; overlays),FHWA LTPP PCC surface defect. Relevant for concrete runway and pavement surface quality assessment.,concrete; crack; pavement; defect; runway-surface,shrinkage-cracking; scaling; alkali-silica-reaction; popout; durability-cracking; joint-spalling,medium
scaling,concrete-defects,"Scaling of Concrete Pavement Surfaces","Scaling is the gradual deterioration of the upper concrete slab surface, typically 3–13 mm deep, caused by freeze-thaw cycles, poor air entrainment, or deicing chemical exposure. In FHWA LTPP, scaling on PCC pavements is a surface defect with no defined severity level. Covers causes, visual appearance, differentiation from spalling, and surface assessment.",concrete scaling; surface scaling; PCC scaling; freeze-thaw scaling; deicer scaling; mortar flaking; FHWA LTPP scaling; concrete surface deterioration,1. Definition and Depth Range; 2. Causes (freeze-thaw; lack of air entrainment; deicing salts; poor finishing); 3. FHWA LTPP Classification; 4. Visual Appearance (light/moderate/severe scaling); 5. Differentiation from Spalling and Delamination; 6. Scaling in Airport Concrete Pavements; 7. Detection by Drone Imagery; 8. Prevention (air entrainment; curing; sealers); 9. Repair,FHWA LTPP PCC surface defect — common in cold-climate concrete pavements and airfield surfaces.,concrete; pavement; runway-surface; defect; concrete-runway,spalling; delamination; freeze-thaw-damage; air-entrainment; map-cracking; popout; joint-spalling,medium
punchout,pavement-defects,"Punchouts in Continuously Reinforced Concrete Pavement","A punchout is a localized area of broken concrete in CRCP where two closely spaced transverse cracks intersect with a longitudinal crack or edge, creating a loose piece. It is the terminal distress in continuously reinforced concrete pavement. Covers formation mechanism, FHWA LTPP classification, detection, and repair.",punchout; CRCP punchout; continuously reinforced concrete pavement; concrete distress; FHWA LTPP punchout; crack intersection failure; PCC structural failure; concrete pavement failure,1. Definition and Mechanism; 2. Distinction from Corner Breaks and Shattered Slabs; 3. FHWA LTPP Classification; 4. Causes (loss of support; corrosion; fatigue; crack width); 5. Punchout in Airport CRCP Pavements; 6. Detection; 7. Repair (full-depth patch; slab replacement),Terminal distress type for continuously reinforced concrete pavements — relevant for airport CRCP inspection.,concrete; pavement; crack; defect; runway-surface; deformation,faulting; corner-break; shattered-slab; joint-spalling; load-transfer-efficiency; dowel-bar,medium
faulting,pavement-defects,"Faulting at Joints and Cracks in Concrete Pavements","Faulting is the vertical displacement at a transverse joint or crack in concrete pavement, creating a 'step' felt by vehicles crossing the joint. It results from differential settlement, loss of support, or pumping. Covers FHWA LTPP measurement (mm), relationship to joint load transfer efficiency, effects on ride quality, and detection via LiDAR or stereo imagery.",faulting; joint faulting; PCC faulting; slab displacement; concrete pavement fault; FHWA LTPP faulting; load transfer efficiency; pavement pumping; joint step,"1. Definition and Measurement; 2. Causes (pumping; erosion; differential settlement); 3. FHWA LTPP Classification; 4. Relationship to Load Transfer Efficiency; 5. Effects on Ride Quality (IRI; PSI); 6. Faulting in Airport Concrete Runways; 7. Detection (profilograph; LiDAR; stereo vision); 8. Prevention (dowels; stabilized base; drainage); 9. Retrofit (dowel bar retrofit; grinding)",Common PCC joint distress affecting ride quality and safety — important for runway and road inspection.,concrete; pavement; deformation; defect; runway-surface; concrete-runway,dowel-bar; load-transfer-efficiency; joint-spalling; pumping; subgrade; international-roughness-index; punchout,medium
joint-spalling,pavement-defects,"Joint Spalling in Concrete Pavements","Joint spalling is the cracking, breaking, or chipping of concrete slab edges at transverse or longitudinal joints. It occurs when incompressible materials infiltrate joints, preventing expansion, or from poor construction/durability. Covers FHWA LTPP classification, relationship to joint sealant condition, and prevention through joint maintenance.",joint spalling; PCC joint spalling; joint deterioration; concrete joint damage; FHWA LTPP joint spall; incompressible intrusion; joint seal failure; concrete edge spalling,1. Definition and Location; 2. Causes (incompressible intrusion; D-cracking; construction defects); 3. FHWA LTPP Severity Classification; 4. Relationship to Joint Sealant Condition; 5. Measurement (width; depth; length along joint); 6. Joint Spalling in Airport PCC Pavements; 7. Detection; 8. Prevention (joint sealing; wider joints); 9. Repair (partial-depth patch),Common PCC joint distress — critical for airport concrete pavement inspection and maintenance prioritization.,concrete; pavement; crack; defect; runway-surface; concrete-runway,spalling; joint-sealant; faulting; dowel-bar; tie-bar; silicone-sealant; preformed-compression-seal; load-transfer-efficiency,medium
pothole,pavement-defects,"Potholes in Asphalt and Flexible Pavements","A pothole is a bowl-shaped cavity in the pavement surface resulting from progressive disintegration of the asphalt layers, typically initiated by cracking, water infiltration, and traffic loading. Potholes are a severe distress generating FOD and safety hazards. Covers formation mechanism, severity classification, automated detection from imagery, and repair urgency.",pothole; pavement pothole; asphalt cavity; pavement disintegration; road pothole; FOD source; pothole detection; pavement failure,1. Definition and Formation; 2. Pothole Formation Mechanism (crack → water → freeze-thaw → traffic → cavity); 3. Severity Classification; 4. Potholes in Airport Pavements (FOD hazard); 5. Detection (visual; LiDAR; AI-based); 6. Automated Pothole Recognition; 7. Repair Methods (throw-and-roll; semi-permanent; spray injection); 8. Repair Priority,Common road inspection defect — severe FOD hazard in airfield pavements. Detected by AI-based object detection.,crack; asphalt; pavement; defect; FOD; foreign-object-debris; deformation,alligator-cracking; raveling; bleeding; patch; pci; pavement-condition-index,high
pci,pavement-condition,"Pavement Condition Index (PCI) — ASTM D6433","The Pavement Condition Index (PCI) is a numerical indicator from 0 (failed) to 100 (excellent) that rates pavement surface condition based on observed distress type, severity, and extent per ASTM D6433-20. Originally for roads and parking lots, PCI methodology is adapted for airport pavements in ICAO Doc 9157 and FAA AC 150/5380. Covers calculation method, distress deduct curves, and AI-based proxy assessment.",ASTM D6433; pavement condition index; PCI; PCI airport; pavement rating; distress deduct value; PCI calculation; pavement condition survey; PCI inspection,1. Definition and Scale (0-100); 2. ASTM D6433-20 Standard Overview; 3. PCI Calculation Method (inspection unit; distress mapping; deduct values; CDV); 4. Distress Types by Pavement Type; 5. PCI in Airport Pavements (ICAO Doc 9157; FAA AC 150/5380); 6. PCI Rating Scale (Good/Satisfactory/Fair/Poor/Very Poor/Serious/Failed); 7. AI-Based PCI Proxy Assessment; 8. Limitations of Visual-Only PCI; 9. Comparison with Other Indices (PSI; IRI),Primary airport and road pavement condition standard. TarmacView produces a PCI-like visual proxy grade.,pavement; runway-surface; inspection; assessment; runway; taxiway; defect; crack,pavement-condition-index; present-serviceability-index; international-roughness-index; pci-proxy; visual-inspection; condition-rating; repair-priority,high
international-roughness-index,pavement-condition,"International Roughness Index (IRI) for Pavements","The International Roughness Index (IRI) is a standardized longitudinal profile-based measure of pavement roughness, expressed in m/km or in/mi. Developed by the World Bank, IRI is the most widely used pavement smoothness metric globally. Covers calculation from profile data, relationship to ride quality and vehicle operating costs, measurement equipment, and estimation from drone imagery.",international roughness index; IRI; pavement roughness; profile index; road smoothness; quarter-car model; IRI measurement; profilograph; inertial profiler; ride quality,1. Definition and Units; 2. History (World Bank; NCHRP); 3. Quarter-Car Simulation Model; 4. IRI Calculation from Longitudinal Profile; 5. Measurement Equipment (inertial profiler; walking profiler; road profiler); 6. IRI Thresholds and Condition Categories; 7. Relationship to PSI and PCI; 8. IRI in Airport Pavements; 9. Estimation from LiDAR and Drone Data; 10. Use in Pavement Management Systems,Global standard for road roughness — relevant for road survey and runway smoothness assessment.,pavement; runway-surface; inspection; profilograph; straightedge,international-roughness-index; pci; present-serviceability-index; profilograph; inertial-profiler; walking-profiler; pavement-management-system,medium
skid-resistance,pavement-condition,"Skid Resistance of Pavement and Runway Surfaces","Skid resistance is the frictional force resisting tire sliding on a pavement surface, critical for safe braking and vehicle control — especially on wet runways. Governed by pavement microtexture and macrotexture, skid resistance is measured by locked-wheel testers, continuous friction measuring equipment (CFME), and British pendulum testers. Covers ICAO friction requirements, measurement standards, texture relationships, and AI-based proxy assessment.",skid resistance; pavement friction; runway friction; skid number; friction testing; CFME; locked-wheel tester; British pendulum tester; macrotexture; microtexture; hydroplaning,1. Definition and Importance; 2. Microtexture vs Macrotexture Contribution; 3. Measurement Methods (locked-wheel; CFME; DFT; BPT); 4. Skid Number (SN) and Friction Coefficient (Mu); 5. ICAO Runway Friction Requirements; 6. FAA Friction Standards; 7. Hydroplaning and Friction Relationship; 8. Runway Condition Assessment Matrix (RCAM); 9. Friction Degradation (polishing; rubber deposits); 10. Surface Treatments for Friction (grooving; PFC); 11. AI-Based Visual Friction Proxy,Runway and road safety critical parameter. Directly related to TarmacView surface quality assessment.,friction; runway-surface; pavement; asphalt; concrete; grooving; hydroplaning; safety; inspection,skid-number; macrotexture; microtexture; grooving; hydroplaning; polished-aggregate; bleeding; friction-course; porous-friction-course,high
grooving,pavement-surface,"Runway and Pavement Surface Grooving","Grooving is the cutting of transverse or longitudinal channels into runway or road pavement surfaces to improve water drainage, increase wet-weather friction, and prevent hydroplaning. ICAO mandates grooving on primary runways. Covers groove dimensions, spacing standards, FAA/ICAO specifications, construction methods, and inspection of groove condition from drone imagery.",pavement grooving; runway grooving; surface grooving; drainage grooves; runway safety grooving; ICAO grooving standard; FAA grooving; hydroplaning prevention; groove dimensions,1. Definition and Purpose; 2. Groove Geometry (width 6 mm; depth 6 mm; spacing 32 mm typical); 3. ICAO Annex 14 Grooving Requirements; 4. FAA Grooving Standards; 5. Grooving Methods (diamond saw; diamond grinding); 6. Effects on Friction and Drainage; 7. Groove Wear and Degradation; 8. Inspection of Groove Condition (drone; laser); 9. Grooving on Concrete vs Asphalt; 10. Longitudinal vs Transverse Grooving,Runway safety surface treatment — directly relevant to drone-based runway surface inspection.,runway-surface; pavement; friction; skid-resistance; hydroplaning; asphalt; concrete; runway; safety,grooving-depth; grooving-spacing; macrotexture; microtexture; friction-course; porous-friction-course; surface-texture,high
pavement-condition-index,pavement-condition,"Pavement Condition Index (PCI) Methodology for Airport Pavements","See also PCI entry. The PCI methodology applied specifically to airport pavements follows ICAO Doc 9157 Part 3 and FAA AC 150/5380-7B, adapted from ASTM D6433 with airport-specific distress types including jet blast erosion, fuel spill damage, and rubber deposits. Covers airfield inspection units, distress identification for airfields, and condition forecasting via Pavement Management Systems (PMS).",airport PCI; airfield pavement condition; ICAO pavement condition; FAA pavement condition; airport pavement management; PCI airport inspection; airfield distress survey; pavement condition forecasting,1. Airport-Specific PCI Adaptation; 2. ICAO Doc 9157 Part 3 Pavement Condition; 3. FAA AC 150/5380-7B; 4. Airport Distress Types (jet blast; fuel damage; rubber deposits); 5. Airfield Inspection Unit Definition; 6. PCI Calculation for Airport Pavements; 7. Condition Forecasting and Remaining Life; 8. Integration with Pavement Management Systems; 9. AI/Drone-Based Airport PCI Survey,Airport-specific PCI standard for TarmacView's runway inspection and assessment pipeline.,pavement; runway-surface; runway; taxiway; apron; inspection; assessment; pavement-management-system,pci; condition-rating; repair-priority; foreign-object-debris; blast-pad; skid-resistance; grooving; friction-course,high
